matrix size,matrix multiplication time,matrix multiplication time using a transpose matrix
255,0.003011,0.002885
256,0.00303,0.002915
257,0.003254,0.002846
258,0.00298,0.003135
259,0.003065,0.002997
260,0.003343,0.00291
261,0.003537,0.002911
262,0.003073,0.002868
263,0.003077,0.002906
264,0.003387,0.002967
265,0.003089,0.00294
266,0.003149,0.002959
267,0.003096,0.00297
268,0.00345,0.002999
269,0.003155,0.003018
270,0.003212,0.003037
271,0.003153,0.002977
272,0.003163,0.002991
273,0.003195,0.003182
274,0.003378,0.00308
275,0.003325,0.003117
276,0.003494,0.003088
277,0.003331,0.003166
278,0.00361,0.003419
279,0.00393,0.003412
280,0.003533,0.003267
281,0.00366,0.00342
282,0.003528,0.00335
283,0.003799,0.003249
284,0.003481,0.003266
285,0.003499,0.003287
286,0.003529,0.003309
287,0.003681,0.003397
288,0.003664,0.003365
289,0.003591,0.00345
290,0.003617,0.003411
291,0.00372,0.00343
292,0.003634,0.003631
293,0.003805,0.003459
294,0.003699,0.003479
295,0.003716,0.003693
296,0.003794,0.003596
297,0.004014,0.003596
298,0.003909,0.003502
299,0.003785,0.0036
300,0.003827,0.003527
301,0.003835,0.003553
302,0.003983,0.003606
303,0.004274,0.003783
304,0.003809,0.003639
305,0.003886,0.003663
306,0.003944,0.003665
307,0.004037,0.00375
308,0.004045,0.003721
309,0.004003,0.00383
310,0.004016,0.003889
311,0.004045,0.004001
312,0.004276,0.003821
313,0.004126,0.003831
314,0.004249,0.004184
315,0.004467,0.00389
316,0.004196,0.00432
317,0.004274,0.004738
318,0.004363,0.004748
319,0.004776,0.004199
320,0.004445,0.004144
321,0.004548,0.004194
322,0.004457,0.004178
323,0.004383,0.004206
324,0.004423,0.004458
325,0.005034,0.004327
326,0.004584,0.004247
327,0.004578,0.004308
328,0.004703,0.004538
329,0.005093,0.004739
330,0.004695,0.004362
331,0.004704,0.004389
332,0.004701,0.004648
333,0.004724,0.004412
334,0.004762,0.004446
335,0.004792,0.004509
336,0.004897,0.00463
337,0.004986,0.004595
338,0.004856,0.004456
339,0.004803,0.004462
340,0.005039,0.00449
341,0.004835,0.004514
342,0.005116,0.004615
343,0.005029,0.004678
344,0.0049,0.004482
345,0.004821,0.004562
346,0.005761,0.004655
347,0.004982,0.004579
348,0.005205,0.004822
349,0.006224,0.004983
350,0.005393,0.005093
351,0.005339,0.005143
352,0.005332,0.004937
353,0.005397,0.005016
354,0.005575,0.005031
355,0.005344,0.004999
356,0.005247,0.004974
357,0.005333,0.004933
358,0.005303,0.005019
359,0.005325,0.004979
360,0.005355,0.005012
361,0.005391,0.006411
362,0.006125,0.005107
363,0.005656,0.005316
364,0.005411,0.005166
365,0.005407,0.005205
366,0.005516,0.005148
367,0.005615,0.005271
368,0.005684,0.005336
369,0.005807,0.005267
370,0.005822,0.00541
371,0.006034,0.005334
372,0.005718,0.00523
373,0.005853,0.005249
374,0.005846,0.005287
375,0.005983,0.005625
376,0.006233,0.006205
377,0.006289,0.005827
378,0.006288,0.006249
379,0.006185,0.006039
380,0.006471,0.006413
381,0.006288,0.00574
382,0.006205,0.005796
383,0.006238,0.005797
384,0.006455,0.00585
385,0.006958,0.005971
386,0.007154,0.005925
387,0.00646,0.005744
388,0.00693,0.005796
389,0.006356,0.005803
390,0.006401,0.005771
391,0.006439,0.005802
392,0.007405,0.007933
393,0.00794,0.010343
394,0.0091,0.007751
395,0.008963,0.008316
396,0.007968,0.007061
397,0.007547,0.006731
398,0.007877,0.006737
399,0.008194,0.006849
400,0.007882,0.006777
401,0.00779,0.006867
402,0.007729,0.007039
403,0.007925,0.006937
404,0.007996,0.006742
405,0.00789,0.006682
406,0.007794,0.006748
407,0.008018,0.00663
408,0.008008,0.006734
409,0.007687,0.006729
410,0.007613,0.00664
411,0.007474,0.006594
412,0.007296,0.006531
413,0.007964,0.006632
414,0.00819,0.006716
415,0.007831,0.006729
416,0.007802,0.006775
417,0.008288,0.006694
418,0.008102,0.007168
419,0.008465,0.007506
420,0.008361,0.007299
421,0.00826,0.007275
422,0.00843,0.007167
423,0.00855,0.007162
424,0.00832,0.007079
425,0.008124,0.007095
426,0.008215,0.007187
427,0.008334,0.007115
428,0.008288,0.006997
429,0.009695,0.008329
430,0.008304,0.007085
431,0.008987,0.007456
432,0.00918,0.007457
433,0.008842,0.007594
434,0.009264,0.007691
435,0.008968,0.007445
436,0.0085,0.007798
437,0.009077,0.007962
438,0.00926,0.007822
439,0.009216,0.007942
440,0.009346,0.008652
441,0.009667,0.0079
442,0.010044,0.008813
443,0.009935,0.008644
444,0.00973,0.009071
445,0.009716,0.008589
446,0.009984,0.0081
447,0.00976,0.008076
448,0.009314,0.008034
449,0.009769,0.008022
450,0.009805,0.008162
451,0.009938,0.008022
452,0.009268,0.007942
453,0.010075,0.008262
454,0.009879,0.008456
455,0.009961,0.008829
456,0.01011,0.008523
457,0.0101,0.008217
458,0.009158,0.008188
459,0.010122,0.008282
460,0.010006,0.008317
461,0.010128,0.008312
462,0.009798,0.008081
