matrix size,M.M. average time,M.M.T. average time,M.M. std,M.M.T. std
1000,0.0323759,0.0310511,0.00119786,0.000972564
2000,0.185198,0.126569,0.00779748,0.00907452
3000,0.319877,0.280995,0.00586649,0.00332575
4000,0.60439,0.502905,0.0220343,0.00742454
5000,1.22203,0.794255,0.0222352,0.00860545
6000,1.73956,1.12797,0.0527983,0.0122431
7000,2.36989,1.54664,0.0414456,0.023796
8000,3.08722,1.98946,0.0912707,0.0175967
9000,3.84935,2.52266,0.0716282,0.0253554
10000,4.7626,3.11514,0.0678749,0.0230571
