matrix size, average time, standard deviation
10,6.36383e-05,3.19849e-06,
15,0.000168707,4.08082e-06,
25,0.000650088,2.83943e-05,
39,0.0020579,0.000123832,
63,0.00644971,0.000627781,
100,0.0161589,0.00231546,
158,0.0462056,0.00110492,
251,0.206549,0.0201488,
398,0.926047,0.0333028,
630,3.9167,0.194481,
1000,15.5927,0.609208,
