matrix size,matrix multiplication time,matrix multiplication time using a transpose matrix
201,0.000343478,0.000305529
202,0.000348173,0.000312327
203,0.000384072,0.000376356
204,0.000395881,0.0003175
205,0.000374029,0.000322336
206,0.000492313,0.000342666
207,0.000467362,0.000374667
208,0.000395539,0.000327613
209,0.000360515,0.00033305
210,0.000477493,0.000465637
211,0.000482241,0.000442712
212,0.000427032,0.000353991
213,0.000380288,0.000362507
214,0.00046688,0.0003786
215,0.000477112,0.000387858
216,0.000411435,0.00036569
217,0.000520363,0.000385172
218,0.000413619,0.000378264
219,0.000453602,0.000395407
220,0.000500193,0.000381857
221,0.000426454,0.000383312
222,0.00042788,0.000376769
223,0.000588152,0.000407647
224,0.000472823,0.000780776
225,0.000538246,0.000487935
226,0.000571149,0.000407411
227,0.000499685,0.000412508
228,0.00049138,0.000406596
229,0.000498127,0.000452893
230,0.000482416,0.000416755
231,0.00053872,0.000418456
232,0.000511453,0.000410748
233,0.000471925,0.000416418
234,0.000479065,0.00041103
235,0.000506203,0.000417759
236,0.000479716,0.000424359
237,0.000499836,0.000424546
238,0.000465962,0.000426735
239,0.000743931,0.000454727
240,0.000531792,0.000478001
241,0.000541867,0.000439437
242,0.00048171,0.00058048
243,0.000568004,0.000459477
244,0.00058138,0.000454483
245,0.000552537,0.000468825
246,0.000591131,0.000460051
247,0.000608792,0.00048136
248,0.000572595,0.000479141
249,0.000539596,0.000466021
250,0.000530015,0.000473088
251,0.000604327,0.000497807
252,0.000525734,0.000490519
253,0.000744482,0.0012556
254,0.000601045,0.000501409
255,0.000617158,0.000503664
256,0.000575123,0.000505919
257,0.000613712,0.00052803
258,0.000619001,0.000523371
259,0.000634947,0.000524426
260,0.000634453,0.000526648
261,0.000643656,0.000542347
262,0.000641593,0.000539784
263,0.000616786,0.000549598
264,0.000666037,0.000554157
265,0.000663797,0.000563778
266,0.000666781,0.000558014
267,0.000690319,0.000572671
268,0.00068563,0.000578384
269,0.000690203,0.000591786
270,0.000698173,0.000585417
271,0.000712239,0.000593515
272,0.00081167,0.000707516
273,0.000746604,0.000602593
274,0.000715948,0.000605348
275,0.000728976,0.000613199
276,0.000733164,0.000626482
277,0.000751432,0.000624489
278,0.000697678,0.000637587
279,0.000759513,0.000639821
280,0.000762835,0.000645072
281,0.000791336,0.000650408
282,0.000786666,0.00085435
283,0.000825318,0.000664025
284,0.00083454,0.00076644
285,0.000831575,0.000692148
286,0.000824272,0.000780477
287,0.00108394,0.000693847
288,0.000800185,0.000696194
289,0.000824553,0.000699908
290,0.000832913,0.000776094
291,0.000893578,0.000718439
292,0.000849013,0.000721147
293,0.000855594,0.000728429
294,0.00087052,0.00137018
295,0.000964577,0.000801077
296,0.000950718,0.000987212
297,0.000965376,0.000797583
298,0.00100081,0.000793693
299,0.000936402,0.000811885
300,0.00103794,0.000823452
301,0.00134074,0.000808211
302,0.000980772,0.000796664
303,0.000943564,0.000805809
304,0.000895751,0.000797415
305,0.000967831,0.000801211
306,0.000953583,0.000808117
307,0.00201257,0.000825002
308,0.000975907,0.000823437
309,0.000975004,0.000829365
310,0.000985463,0.000834974
311,0.000992122,0.000861757
312,0.00101281,0.000877208
313,0.00108462,0.000890173
314,0.00126511,0.00148826
315,0.00142697,0.00288735
316,0.0023968,0.000881257
317,0.000964991,0.000884044
318,0.00104881,0.000888243
319,0.00108286,0.000901107
320,0.00202128,0.00322201
321,0.00176965,0.00114462
322,0.00112157,0.000916908
323,0.00109114,0.000933362
324,0.00126833,0.00146184
325,0.00314479,0.00141847
326,0.00119967,0.0010405
