matrix size,matrix multiplication time,matrix multiplication time using a transpose matrix
1,1e-06,2e-06
2,3e-06,3e-06
3,4e-06,3e-06
4,4e-06,4e-06
5,6e-06,6e-06
6,6e-06,7e-06
7,1.7e-05,7e-06
8,9e-06,1e-05
9,1e-05,1.1e-05
10,1.3e-05,1.4e-05
11,1.3e-05,1.4e-05
12,1.6e-05,1.4e-05
13,2.4e-05,1.9e-05
14,1.8e-05,1.8e-05
15,2.6e-05,2.2e-05
16,2.5e-05,2.2e-05
17,2.4e-05,2.3e-05
18,2.5e-05,2.5e-05
19,2.7e-05,2.7e-05
20,3e-05,2.9e-05
21,3.2e-05,3.2e-05
22,3.5e-05,3.3e-05
23,3.6e-05,3.5e-05
24,3.8e-05,3.8e-05
25,4.1e-05,4.1e-05
26,4.3e-05,4.4e-05
27,5.1e-05,4.7e-05
28,5e-05,4.9e-05
29,5.3e-05,5.1e-05
30,5.5e-05,5.4e-05
31,6e-05,5.6e-05
32,6.7e-05,6e-05
33,6.3e-05,6.3e-05
34,6.5e-05,6.6e-05
35,6.9e-05,6.8e-05
36,7.1e-05,7.2e-05
37,8.1e-05,7.6e-05
38,7.8e-05,7.8e-05
39,8.6e-05,8.2e-05
40,8.6e-05,8.5e-05
41,9e-05,9.1e-05
42,9.4e-05,8.9e-05
43,9.4e-05,9.3e-05
44,9.7e-05,9.6e-05
45,0.000106,0.000102
46,0.000102,0.000103
47,0.000106,0.000106
48,0.000109,0.000114
49,0.000119,0.000121
50,0.000125,0.000118
51,0.000122,0.000129
52,0.000128,0.000128
53,0.00013,0.000131
54,0.000138,0.000135
55,0.000139,0.000138
56,0.000143,0.000143
57,0.000156,0.000151
58,0.000156,0.000155
59,0.000163,0.000163
60,0.000165,0.000166
61,0.00016,0.000158
62,0.000164,0.000163
63,0.000168,0.000167
64,0.000179,0.000173
65,0.000177,0.000181
66,0.000203,0.000198
67,0.000187,0.000195
68,0.000195,0.000192
69,0.000202,0.000201
70,0.000202,0.000209
71,0.000207,0.000208
72,0.000218,0.000214
73,0.000229,0.000227
74,0.000223,0.000224
75,0.000225,0.000226
76,0.000227,0.00023
77,0.000256,0.000232
78,0.000234,0.000235
79,0.00024,0.000241
80,0.000246,0.000247
81,0.000259,0.000265
82,0.000278,0.000268
83,0.000295,0.000285
84,0.000268,0.000277
85,0.000297,0.000264
86,0.000275,0.000293
87,0.000275,0.000276
88,0.000281,0.00029
89,0.00029,0.000296
90,0.000307,0.000298
91,0.000299,0.000315
92,0.000321,0.000312
93,0.000322,0.000311
94,0.00032,0.000311
95,0.000314,0.000313
96,0.00032,0.00032
97,0.000329,0.000342
98,0.000345,0.000334
99,0.000373,0.000357
100,0.000345,0.000364
101,0.00035,0.000346
102,0.000369,0.000357
103,0.000359,0.000359
104,0.000376,0.000368
