matrix size,matrix multiplication time,matrix multiplication time using a transpose matrix
257,0.00203,0.00198
258,0.00217,0.002012
259,0.002016,0.002007
260,0.00203,0.002026
261,0.002156,0.002037
262,0.002057,0.002051
263,0.002074,0.002066
264,0.002086,0.002081
265,0.002101,0.002094
266,0.002136,0.002108
267,0.002134,0.002126
268,0.002152,0.002144
269,0.002166,0.002157
270,0.002228,0.002176
271,0.002199,0.002192
272,0.002213,0.002205
273,0.002231,0.002229
274,0.002243,0.002234
275,0.002266,0.002252
276,0.002277,0.002264
277,0.002298,0.002282
278,0.00231,0.002301
279,0.002326,0.002314
280,0.002342,0.00233
281,0.00236,0.002345
282,0.002379,0.002362
283,0.002396,0.00238
284,0.002413,0.002397
285,0.002426,0.002411
286,0.002444,0.002435
287,0.002567,0.002444
288,0.002481,0.002461
289,0.002497,0.002475
290,0.002512,0.002493
291,0.002528,0.002516
292,0.002541,0.002536
293,0.002563,0.002544
294,0.002579,0.002566
295,0.002592,0.002584
296,0.002761,0.002593
297,0.002627,0.002627
298,0.002646,0.002625
299,0.002666,0.002644
300,0.002694,0.002665
301,0.002702,0.002679
302,0.002722,0.002703
303,0.002736,0.002715
304,0.002881,0.002738
305,0.002839,0.002756
306,0.002805,0.002769
307,0.002803,0.002787
308,0.002822,0.002803
309,0.002838,0.002821
310,0.002886,0.00284
311,0.003038,0.002856
312,0.002892,0.002876
313,0.002908,0.002892
314,0.002938,0.002909
315,0.002944,0.002932
316,0.002963,0.002944
317,0.002983,0.002979
318,0.003004,0.002985
319,0.003021,0.003004
320,0.003036,0.003017
321,0.003059,0.00304
322,0.00308,0.003053
323,0.003095,0.003076
324,0.003153,0.003096
325,0.003127,0.003111
326,0.00315,0.00313
327,0.00317,0.003148
328,0.003186,0.00317
329,0.003206,0.003187
330,0.003222,0.003207
331,0.003253,0.003224
332,0.003269,0.003243
333,0.003284,0.003263
334,0.003306,0.003362
335,0.003325,0.003303
336,0.003344,0.00332
337,0.003365,0.003339
338,0.003386,0.003357
339,0.003402,0.003377
340,0.003424,0.003398
341,0.003441,0.003415
342,0.003461,0.003433
343,0.00349,0.003453
344,0.00351,0.003477
345,0.003531,0.003496
346,0.003541,0.003511
347,0.003565,0.003533
348,0.00358,0.003659
349,0.003662,0.003578
350,0.003628,0.003598
351,0.003642,0.003617
352,0.003665,0.003638
353,0.003693,0.003665
354,0.003706,0.003679
355,0.003726,0.0037
356,0.00375,0.003717
357,0.003766,0.003738
358,0.003782,0.003761
359,0.003809,0.003779
360,0.003826,0.003801
361,0.00385,0.00383
362,0.003869,0.003844
363,0.003888,0.003866
364,0.003919,0.003897
365,0.003945,0.003911
366,0.003956,0.003929
367,0.003973,0.003948
368,0.004003,0.003969
369,0.004015,0.003994
370,0.00432,0.004006
371,0.004062,0.004031
372,0.004085,0.004048
373,0.004102,0.004073
374,0.004123,0.004091
375,0.004142,0.004112
376,0.004169,0.004134
377,0.004231,0.004167
378,0.004211,0.004187
379,0.004233,0.0042
380,0.004253,0.004224
381,0.004275,0.004248
382,0.004312,0.004275
383,0.004325,0.004289
384,0.004477,0.004526
385,0.004584,0.004349
386,0.004447,0.004353
387,0.004467,0.004379
388,0.004495,0.004409
389,0.004548,0.004484
390,0.004614,0.004509
391,0.005109,0.004605
392,0.004877,0.004567
393,0.004709,0.004542
394,0.004711,0.004627
395,0.00478,0.004647
396,0.004763,0.004632
397,0.004793,0.004679
398,0.004856,0.004671
399,0.004859,0.004705
400,0.004877,0.004687
401,0.00491,0.004744
402,0.004874,0.004738
403,0.004926,0.004788
404,0.004937,0.004778
405,0.004966,0.004787
406,0.004985,0.004898
407,0.004989,0.004882
408,0.005001,0.004968
409,0.005025,0.004902
410,0.005025,0.00503
411,0.005086,0.004974
412,0.005163,0.005071
413,0.005091,0.005023
414,0.005239,0.005074
415,0.005185,0.005143
416,0.00527,0.005198
417,0.005283,0.005098
418,0.005291,0.005167
419,0.005356,0.00519
420,0.005261,0.005202
421,0.005248,0.00516
422,0.005326,0.005303
423,0.005454,0.005317
424,0.005387,0.005325
425,0.00544,0.00535
426,0.005459,0.005355
427,0.005501,0.005328
428,0.005413,0.005404
429,0.005479,0.005426
430,0.005621,0.005475
431,0.005562,0.005458
432,0.005591,0.005443
433,0.005564,0.005608
434,0.005598,0.005563
435,0.005732,0.005543
436,0.005627,0.005603
437,0.005716,0.005614
438,0.005715,0.005713
439,0.00574,0.005683
440,0.006121,0.005709
441,0.005949,0.005697
442,0.00584,0.005736
443,0.00584,0.0058
444,0.005872,0.005813
445,0.005832,0.005745
446,0.005923,0.005871
447,0.005932,0.005889
448,0.006057,0.005982
449,0.00603,0.005881
450,0.006005,0.005945
451,0.005972,0.005998
452,0.006104,0.00599
453,0.006097,0.006167
454,0.006281,0.006112
455,0.006141,0.006081
456,0.006165,0.006103
457,0.006161,0.006169
458,0.0062,0.006176
459,0.006176,0.006257
460,0.006227,0.006269
461,0.006276,0.006279
462,0.006388,0.006303
463,0.006503,0.006365
464,0.006421,0.006368
465,0.00637,0.006277
466,0.006762,0.006675
467,0.006499,0.006477
468,0.006518,0.006386
469,0.006548,0.006454
470,0.006517,0.006492
471,0.006621,0.006517
472,0.006591,0.006546
473,0.006635,0.006603
474,0.006635,0.006579
475,0.006641,0.006644
476,0.006673,0.006596
477,0.006685,0.006652
478,0.006739,0.006685
479,0.006799,0.006703
480,0.006763,0.006709
481,0.006833,0.006775
482,0.006811,0.006812
483,0.00687,0.006912
484,0.00685,0.006998
485,0.006934,0.006893
486,0.006944,0.006952
487,0.008391,0.007517
488,0.007104,0.007193
489,0.007813,0.007177
490,0.007686,0.010024
491,0.007876,0.007722
492,0.008028,0.007269
493,0.007811,0.007455
494,0.007366,0.007124
495,0.007453,0.007205
496,0.007274,0.007164
497,0.007219,0.007584
498,0.007837,0.007482
499,0.007488,0.007742
500,0.007391,0.007263
501,0.007777,0.00778
502,0.007588,0.007416
503,0.007669,0.007457
504,0.007633,0.007589
505,0.007673,0.007517
506,0.007732,0.00749
507,0.007666,0.007539
508,0.007712,0.007514
509,0.007741,0.007577
510,0.007736,0.007615
511,0.007759,0.007588
512,0.00779,0.007624
513,0.007871,0.007644
514,0.007745,0.00768
515,0.007799,0.007762
516,0.007749,0.007858
517,0.007953,0.007729
518,0.007808,0.007993
519,0.007953,0.007868
520,0.00804,0.007921
521,0.007958,0.007852
522,0.007978,0.008351
523,0.008329,0.008578
524,0.008455,0.008377
525,0.008562,0.008472
526,0.009034,0.008352
527,0.008531,0.008628
528,0.009122,0.008456
529,0.008538,0.008634
530,0.008658,0.00864
531,0.008819,0.008583
532,0.008583,0.008537
533,0.00905,0.008666
534,0.008698,0.008756
535,0.009266,0.008618
536,0.009531,0.00866
537,0.009338,0.008846
538,0.008549,0.008495
539,0.008567,0.008579
540,0.009048,0.009142
541,0.009141,0.008817
542,0.009168,0.008859
543,0.009135,0.008899
544,0.009672,0.009427
545,0.009561,0.010123
546,0.009861,0.012079
547,0.009622,0.008896
548,0.010397,0.009179
549,0.009597,0.009356
