matrix size,matrix multiplication time,matrix multiplication time using a transpose matrix
316,0.001999,0.0010168
317,0.0010362,0.0030026
318,0.0020891,0.0021942
319,0.0020007,0.0009991
320,0.0035748,0.0020057
321,0.0019993,0.0009986
322,0.0015118,0.002071
323,0.0019999,0.0010018
324,0.0022357,0.0009986
325,0.0009991,0.0025097
326,0.0019942,0.0009996
327,0.0020012,0.0010847
328,0.0020082,0.002
329,0.0015033,0.0015089
330,0.0029968,0.0010009
331,0.0040985,0.0039994
332,0.0050177,0.0011939
333,0.0019665,0.0020322
334,0.0022423,0.0019991
335,0.0030278,0.0030084
336,0.0025068,0.0015163
337,0.0029681,0.0030139
338,0.0030071,0.0010016
339,0.0040893,0.0019783
340,0.0030079,0.0010043
341,0.0030027,0.0030009
342,0.0021087,0.0019995
343,0.0025023,0.0015845
344,0.0019988,0.0019999
345,0.002007,0.0020003
346,0.0020004,0.0030232
347,0.0040336,0.002508
348,0.0040079,0.0009982
349,0.0021354,0.0019623
350,0.0020049,0.0020463
351,0.0030099,0.0020322
352,0.0021095,0.002036
353,0.0020013,0.0020123
354,0.0020015,0.0019994
355,0.0020631,0.0014779
356,0.0020039,0.001997
357,0.0025866,0.001
358,0.0035108,0.0030484
359,0.0020006,0.0019987
360,0.0024939,0.0020003
361,0.0025066,0.0025958
362,0.0019998,0.0020001
363,0.0030958,0.0010005
364,0.0025067,0.0015143
365,0.0020008,0.0019991
366,0.0025482,0.0030015
367,0.0025853,0.0033147
368,0.0029866,0.0020402
369,0.0030026,0.001535
370,0.0020414,0.0019774
371,0.0020662,0.0020605
372,0.0030001,0.0015021
373,0.0029975,0.0020003
374,0.0031128,0.0019999
375,0.0031491,0.0016394
376,0.0019996,0.0019996
377,0.0019988,0.0030016
378,0.0032319,0.001969
379,0.0030848,0.0026368
380,0.002504,0.0020404
381,0.0019997,0.0019982
382,0.0029978,0.0020014
383,0.0030167,0.0021287
384,0.0039978,0.0025887
385,0.0029999,0.0019997
386,0.0040065,0.0019983
387,0.0025649,0.0015102
388,0.0036107,0.0036597
389,0.0045618,0.0030003
390,0.0030108,0.0033431
391,0.0035048,0.0025935
392,0.0029969,0.0025108
393,0.0029997,0.0029982
394,0.0021381,0.003001
395,0.0036396,0.0025078
396,0.0030021,0.0020003
397,0.0020005,0.0020092
398,0.0029965,0.0025044
399,0.0053666,0.0035166
400,0.0030014,0.0019991
401,0.0020011,0.0030005
402,0.0020188,0.0019989
403,0.0030208,0.0039037
404,0.0030334,0.0029995
405,0.0040282,0.0031976
406,0.002991,0.0020846
407,0.0049669,0.0025818
408,0.0029995,0.0029973
409,0.0029827,0.003
410,0.0030162,0.0029991
411,0.0035158,0.0030347
412,0.0037862,0.0030025
413,0.0025915,0.0030053
414,0.0030962,0.0030057
415,0.0035037,0.0024476
416,0.0019993,0.0041952
417,0.0029996,0.0030237
418,0.0040021,0.0040353
419,0.0029999,0.0020151
420,0.0039996,0.002008
421,0.0029999,0.0030134
422,0.0040013,0.0019998
423,0.002509,0.0040005
424,0.0039097,0.0029997
425,0.0051286,0.0035147
426,0.0060396,0.0040053
427,0.0040192,0.0030004
428,0.0053362,0.0030054
429,0.004033,0.0019943
430,0.0030415,0.001998
431,0.0040402,0.0019988
432,0.0034417,0.0030006
433,0.0028443,0.0030002
434,0.0045485,0.0035448
435,0.0051687,0.0020023
436,0.0029651,0.0020354
437,0.0040052,0.0039991
438,0.004005,0.0019987
