matrix size,matrix multiplication time,matrix multiplication time using a transpose matrix
1,4e-06,4e-06
2,6e-06,6e-06
3,7e-06,7e-06
4,1e-05,1e-05
5,1.3e-05,1.2e-05
6,1.6e-05,1.5e-05
7,1.8e-05,1.8e-05
8,2.1e-05,2.1e-05
9,2.4e-05,2e-05
10,2.2e-05,2.1e-05
11,2.5e-05,2.4e-05
12,2.8e-05,2.8e-05
13,3.1e-05,3.1e-05
14,3.4e-05,3.4e-05
15,3.7e-05,3.7e-05
16,3.9e-05,5.2e-05
17,5.8e-05,4.3e-05
18,5e-05,6.1e-05
19,5.9e-05,5e-05
20,6.1e-05,5.4e-05
21,5.8e-05,5.9e-05
22,6.3e-05,6.3e-05
23,6.8e-05,6.9e-05
24,7e-05,7.2e-05
25,7.8e-05,8.7e-05
26,8.3e-05,8.1e-05
27,8.8e-05,8.6e-05
28,0.000103,0.000104
29,0.000101,9.5e-05
30,0.0001,0.000101
31,0.000106,0.000105
32,0.000112,0.000111
33,0.000116,0.00013
34,0.000105,0.000105
35,0.000109,0.000109
36,0.000125,0.000114
37,0.000127,0.00012
38,0.000126,0.000129
39,0.000132,0.000146
40,0.000137,0.000149
41,0.000144,0.000143
42,0.000156,0.000151
43,0.000159,0.000154
44,0.000172,0.000161
45,0.000165,0.000165
46,0.000171,0.00018
47,0.000185,0.000182
48,0.000198,0.000183
49,0.000172,0.000167
50,0.000171,0.000204
51,0.000181,0.000177
52,0.000184,0.000187
53,0.000233,0.00019
54,0.000203,0.0002
55,0.000202,0.000201
56,0.000218,0.000209
57,0.000227,0.00023
58,0.000225,0.000233
59,0.000243,0.000248
60,0.000248,0.000255
61,0.000241,0.000257
62,0.00022,0.00022
63,0.000289,0.000231
64,0.00026,0.000236
65,0.000272,0.00024
66,0.000249,0.000248
67,0.000258,0.000254
68,0.00027,0.000263
69,0.00029,0.000269
70,0.000284,0.000258
71,0.000269,0.000266
72,0.00027,0.000266
73,0.000278,0.000274
74,0.000293,0.000313
75,0.000291,0.000306
76,0.000294,0.000305
77,0.000308,0.000321
78,0.00029,0.000288
79,0.00031,0.000294
80,0.00031,0.000301
81,0.000325,0.000311
82,0.000313,0.000315
