matrix size, average time, standard deviation
10,2.09166e-05,2.46651e-07,
15,5.86654e-05,1.18086e-06,
25,0.000242392,1.44554e-06,
39,0.000891024,1.68757e-05,
63,0.0036793,1.02911e-05,
100,0.0144759,2.86552e-05,
158,0.0572486,7.09267e-05,
251,0.248899,0.000368553,
398,0.979832,0.00238592,
630,3.97441,0.0483231,
1000,16.6146,0.0726352,
