matrix size, average time, standard deviation
10,2.67143e-05,4.51754e-07,
15,6.14286e-05,9.03508e-07,
25,0.000211571,2.32115e-06,
39,0.000694857,8.54281e-06,
63,0.002762,0.000120164,
100,0.0101081,7.07176e-05,
158,0.0389869,0.000226748,
251,0.161427,0.000279247,
398,0.657802,0.0320853,
630,2.59046,0.106016,
1000,10.9542,0.113736,
