matrix size, average time, standard deviation
10,3.50571e-05,1.01352e-05,
15,8.75571e-05,2.20787e-05,
25,0.000389571,8.30934e-05,
39,0.000826071,0.000139967,
63,0.00366934,0.000901803,
100,0.0138953,0.00164919,
158,0.0487087,0.00557308,
251,0.206128,0.0168298,
398,0.812013,0.0514555,
630,3.8548,0.562476,
1000,19.8227,1.22186,
